@relation TestingPetscRS1_75

@attribute ' UpperBW' numeric
@attribute ' LowerBW' numeric
@attribute ' NumericValueSymmetry2' numeric
@attribute ' RowVariance' numeric
@attribute ' DiagSign' numeric
@attribute ' DiagNNZ' numeric
@attribute solver {89565283,7481378,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,44673503,49598912,28187355,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,18524981,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,69323954,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,88304927,90783920,7285383,29030071,29030070,19481960,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,18868442,13323659,45869640,36564233,68908713,7285382,36564232,99720138,75830645,61996489,36564234,30870721,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,49542066,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,96689089,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,83579741,85490471,85490470,85490472,25185158,37052869,37052868}
@attribute class {good,bad}

@data
4002,4002,0.898688,0.499001,2,4000000,89565283,?
4002,4002,0.898688,0.499001,2,4000000,8793455,?
4002,4002,0.898688,0.499001,2,4000000,90197667,?
4002,4002,0.898688,0.499001,2,4000000,49598909,?
4002,4002,0.898688,0.499001,2,4000000,91036839,?
4002,4002,0.898688,0.499001,2,4000000,45869639,?
4002,4002,0.898688,0.499001,2,4000000,45869638,?
4002,4002,0.898688,0.499001,2,4000000,45869637,?
4002,4002,0.898688,0.499001,2,4000000,47942867,?
4002,4002,0.898688,0.499001,2,4000000,89269802,?
4002,4002,0.898688,0.499001,2,4000000,89269803,?
4002,4002,0.898688,0.499001,2,4000000,89269801,?
4002,4002,0.898688,0.499001,2,4000000,89269804,?
4002,4002,0.898688,0.499001,2,4000000,59072883,?
4002,4002,0.898688,0.499001,2,4000000,59072882,?
4002,4002,0.898688,0.499001,2,4000000,59072881,?
4002,4002,0.898688,0.499001,2,4000000,7285381,?
4002,4002,0.898688,0.499001,2,4000000,7285384,?
4002,4002,0.898688,0.499001,2,4000000,59072884,?
4002,4002,0.898688,0.499001,2,4000000,49598911,?
4002,4002,0.898688,0.499001,2,4000000,49598910,?
4002,4002,0.898688,0.499001,2,4000000,49598912,?
4002,4002,0.898688,0.499001,2,4000000,30870721,?
4002,4002,0.898688,0.499001,2,4000000,36025723,?
4002,4002,0.898688,0.499001,2,4000000,36025722,?
4002,4002,0.898688,0.499001,2,4000000,53302993,?
4002,4002,0.898688,0.499001,2,4000000,30870720,?
4002,4002,0.898688,0.499001,2,4000000,64278029,?
4002,4002,0.898688,0.499001,2,4000000,36025724,?
4002,4002,0.898688,0.499001,2,4000000,44526267,?
4002,4002,0.898688,0.499001,2,4000000,8793454,?
4002,4002,0.898688,0.499001,2,4000000,8793456,?
4002,4002,0.898688,0.499001,2,4000000,8793453,?
4002,4002,0.898688,0.499001,2,4000000,17734818,?
4002,4002,0.898688,0.499001,2,4000000,32168839,?
4002,4002,0.898688,0.499001,2,4000000,32168838,?
4002,4002,0.898688,0.499001,2,4000000,57331597,?
4002,4002,0.898688,0.499001,2,4000000,95762352,?
4002,4002,0.898688,0.499001,2,4000000,57331599,?
4002,4002,0.898688,0.499001,2,4000000,57331598,?
4002,4002,0.898688,0.499001,2,4000000,32168837,?
4002,4002,0.898688,0.499001,2,4000000,88865078,?
4002,4002,0.898688,0.499001,2,4000000,88865079,?
4002,4002,0.898688,0.499001,2,4000000,49834417,?
4002,4002,0.898688,0.499001,2,4000000,49834419,?
4002,4002,0.898688,0.499001,2,4000000,49834418,?
4002,4002,0.898688,0.499001,2,4000000,88865076,?
4002,4002,0.898688,0.499001,2,4000000,88865077,?
4002,4002,0.898688,0.499001,2,4000000,11256942,?
4002,4002,0.898688,0.499001,2,4000000,11256943,?
4002,4002,0.898688,0.499001,2,4000000,11256941,?
4002,4002,0.898688,0.499001,2,4000000,42851841,?
4002,4002,0.898688,0.499001,2,4000000,11256944,?
4002,4002,0.898688,0.499001,2,4000000,31459546,?
4002,4002,0.898688,0.499001,2,4000000,17887723,?
4002,4002,0.898688,0.499001,2,4000000,91845162,?
4002,4002,0.898688,0.499001,2,4000000,53362206,?
4002,4002,0.898688,0.499001,2,4000000,95762355,?
4002,4002,0.898688,0.499001,2,4000000,12321508,?
4002,4002,0.898688,0.499001,2,4000000,75830644,?
4002,4002,0.898688,0.499001,2,4000000,57331600,?
4002,4002,0.898688,0.499001,2,4000000,43373444,?
