config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/sno. of iterations
s1000_g1e2,768,11256942, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,5.8,1.933333e+00,4.92e+09,3.0e+07,1.2e+03,1.5e+04,623552,2,
s1000_g1e2,768,11256941, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,9.4,3.133333e+00,6.58e+09,7.7e+07,1.2e+03,2.0e+04,516699,3,
s1000_g1e2,768,42851841, -ksp_type gmres -pc_type bjacobi ,KSPSolve,3,1.6,5.333333e-01,1.69e+10,6.5e+07,1.2e+03,4.4e+04,753439,2,
s1000_g1e2,768,11256944, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,8.0,2.666667e+00,5.26e+09,8.8e+07,1.2e+03,1.5e+04,483295,3,
s1000_g1e2,768,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,4.9,1.633333e+00,3.43e+09,5.8e+07,1.2e+03,1.3e+04,509989,2,
s1000_g1e2,768,45869639, -ksp_type fgmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,1.8,6.000000e-01,1.73e+10,6.7e+07,1.2e+03,4.5e+04,684193,2,
s1000_g1e2,768,45869638, -ksp_type fgmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,1.9,6.333333e-01,1.45e+10,1.5e+08,1.6e+03,3.5e+04,552043,2,
s1000_g1e2,768,45869637, -ksp_type fgmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,1.9,6.333333e-01,1.45e+10,1.6e+08,1.2e+03,3.6e+04,555040,2,
s1000_g1e2,768,36482981, -ksp_type fgmres -pc_type asm ,KSPSolve,3,1.8,6.000000e-01,1.52e+10,1.1e+08,1.2e+03,3.9e+04,604136,3,
s1000_g1e2,768,18524981, -ksp_type ibcgs -pc_type bjacobi ,KSPSolve,3,2.5,8.333333e-01,4.17e+09,2.5e+07,1.2e+03,8.3e+03,1195171,1,
s1000_g1e2,768,12321508, -ksp_type fgmres -pc_type bjacobi ,KSPSolve,3,1.7,5.666667e-01,1.68e+10,6.6e+07,1.2e+03,4.4e+04,724304,2,
s1000_g1e2,768,22479830, -ksp_type gmres -pc_type asm ,KSPSolve,3,1.8,6.000000e-01,1.48e+10,1.1e+08,1.2e+03,3.7e+04,580818,3,
s1000_g1e2,768,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,4.8,1.600000e+00,4.44e+09,2.8e+07,1.2e+03,1.9e+04,677689,2,
s1000_g1e2,768,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,4.7,1.566667e+00,3.71e+09,4.4e+07,1.2e+03,1.5e+04,576995,2,
s1000_g1e2,768,81997754, -ksp_type tfqmr -pc_type asm ,KSPSolve,3,9.1,3.033333e+00,6.58e+09,7.7e+07,1.2e+03,2.0e+04,536666,3,
s1000_g1e2,768,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,5.4,1.800000e+00,3.48e+09,5.6e+07,1.6e+03,1.3e+04,468914,2,
s1000_g1e2,768,8520536, -ksp_type bcgs -pc_type jacobi ,KSPSolve,3,3.9,1.300000e+00,5.68e+09,6.1e+07,1.2e+03,4.1e+04,1063453,0,
s1000_g1e2,768,1216556, -ksp_type ibcgs -pc_type jacobi ,KSPSolve,3,6.3,2.100000e+00,8.17e+09,8.0e+07,1.2e+03,2.7e+04,962619,0,
s1000_g1e2,768,53302993, -ksp_type tfqmr -pc_type bjacobi ,KSPSolve,3,5.5,1.833333e+00,4.92e+09,3.0e+07,1.2e+03,1.5e+04,654935,3,
s1000_g1e2,768,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,4.4,1.466667e+00,4.44e+09,2.8e+07,1.2e+03,1.9e+04,742564,2,
